Comparison,DPI,p.value
Cf4/Avr4-Cf4/Avr9,2,0.03105
Cf9/Avr9-Cf9/Avr4,2,5.889e-4
Cf4/Avr4-Cf4/Avr9,5,1.336e-6
Cf9/Avr9-Cf9/Avr4,5,2.191e-7
